                        ORT     Lon     Lat     Dep     Mag  Nus  NuP  NuS  ADS  MDS  GAP     RMS     ERH     ERZ
2012-08-11T12:23:15.130000Z  46.807  38.424   1.472   6.500  134  134   64    0    0   43   0.412   3.326   2.124
2012-08-11T12:28:46.100000Z  46.782  38.438  21.688   3.500  173  173   81    0    0   42   0.204   3.524   2.394
2012-08-11T12:49:15.470000Z  46.690  38.394  12.705   4.600  112  112   88    0    0   44   0.350   3.697   3.256
2012-08-11T13:14:05.410000Z  46.675  38.381   5.190   4.400  114  114   73    0    0   45   0.347   3.583   4.410
2012-08-11T13:23:14.840000Z  46.731  38.495   9.220   3.700  111  111   66    0    0   38   0.323   3.624   3.259
2012-08-11T13:42:11.500000Z  46.683  38.412  13.238   4.000  119  119   65    0    0   43   0.374   3.463   2.432
2012-08-11T14:14:53.540000Z  46.705  38.504  26.644   2.800  119  119   60    0    0   37   0.312   4.277   3.803
2012-08-11T14:25:15.210000Z  46.683  38.436  12.261   4.300   95   95  105    0    0   41   0.269   3.394   2.367
2012-08-11T14:55:57.130000Z  46.746  38.433   6.762   3.100  170  170   95    0    0   42   0.294   3.316   2.716
2012-08-11T15:21:14.560000Z  46.789  38.444  16.860   4.700  166  166   92    0    0   42   0.362   3.475   2.561
2012-08-11T16:00:50.270000Z  46.793  38.416  15.463   4.000  134  134   68    0    0   44   0.412   3.407   2.142
2012-08-11T16:15:03.990000Z  46.675  38.426  16.490   2.700  154  154   87    0    0   41   0.244   3.472   2.398
2012-08-11T16:21:53.030000Z  46.666  38.417  19.971   4.100   95   95   65    0    0   42   0.284   3.690   2.847
2012-08-11T16:34:32.420000Z  46.668  38.444  15.241   3.300  188  188   96    0    0   40   0.280   3.604   2.872
2012-08-11T17:37:58.400000Z  46.872  38.410  21.393   2.100  167  167   96    0    0   45   0.289   3.468   2.403
2012-08-11T17:45:44.240000Z  46.792  38.410   9.218   2.500  151  151   87    0    0   44   0.363   3.249   2.616
2012-08-11T17:49:25.400000Z  46.831  38.427  16.773   2.600  140  140   67    0    0   43   0.329   3.635   2.970
2012-08-11T17:58:33.080000Z  46.800  38.385   9.268   4.100  170  170   84    0    0   47   0.297   3.245   2.442
2012-08-11T18:13:03.200000Z  46.651  38.384   4.889   3.000  102  102   57    0    0   44   0.284   3.525   5.033
2012-08-11T18:21:44.560000Z  46.712  38.442  20.612   2.600  163  163   95    0    0   41   0.262   3.700   2.780
2012-08-11T19:12:04.660000Z  46.797  38.439  20.140   2.900  114  114   73    0    0   42   0.320   3.681   3.237
2012-08-11T19:29:29.200000Z  46.790  38.442  26.933   2.600  146  146   75    0    0   42   0.233   3.806   3.164
2012-08-11T19:30:45.080000Z  46.925  38.443  22.322   2.700  129  129   68    0    0   51   0.361   3.902   3.006
2012-08-11T19:40:17.180000Z  46.811  38.446  20.378   2.600  167  167  109    0    0   42   0.343   3.520   2.796
2012-08-11T20:10:29.980000Z  46.769  38.430  14.591   3.400  113  113   61    0    0   43   0.344   3.449   2.475
2012-08-11T20:29:18.560000Z  46.855  38.389   4.843   2.600  139  139   72    0    0   46   0.305   3.442   3.179
2012-08-11T20:37:27.440000Z  46.795  38.466  20.359   2.300  182  182   89    0    0   41   0.257   3.531   2.692
2012-08-11T20:45:46.400000Z  46.686  38.411  12.545   2.900  150  150   88    0    0   43   0.345   3.435   2.634
2012-08-11T21:13:21.200000Z  46.673  38.442  11.518   2.400  147  147   95    0    0   40   0.271   3.483   2.658
2012-08-11T21:18:35.040000Z  46.727  38.440  19.778   2.600  169  169   98    0    0   41   0.354   3.664   2.393
2012-08-11T21:21:13.960000Z  46.803  38.448  18.723   2.700  143  143   81    0    0   42   0.313   3.558   2.452
2012-08-11T21:33:50.640000Z  46.858  38.460  18.547   3.100  146  146   82    0    0   48   0.361   3.574   2.241
2012-08-11T22:04:32.240000Z  46.707  38.417  13.895   3.700  118  118   65    0    0   43   0.273   3.535   2.505
2012-08-11T22:12:46.800000Z  46.757  38.419  17.479   3.300   96   96   65    0    0   43   0.317   3.525   2.340
2012-08-11T23:40:52.680000Z  46.797  38.479  15.386   2.200  164  164   76    0    0   43   0.350   3.508   2.371
2012-08-11T23:58:13.360000Z  46.712  38.462  10.715   3.400  116  116   92    0    0   39   0.280   3.468   2.468
2012-08-12T00:10:52.700000Z  46.706  38.400   6.059   2.500  121  121   76    0    0   44   0.231   3.339   3.403
2012-08-12T00:15:22.770000Z  46.767  38.439  17.541   3.100  145  145   94    0    0   42   0.233   3.586   2.024
2012-08-12T00:34:16.320000Z  46.772  38.431  19.199   3.800  137  137  121    0    0   43   0.253   3.578   2.093
2012-08-12T00:41:26.400000Z  46.742  38.483  19.817   2.700  151  151   87    0    0   39   0.277   3.672   3.247
2012-08-12T01:35:50.220000Z  46.746  38.438   7.696   2.200  187  187  115    0    0   42   0.196   3.284   2.473
2012-08-12T02:24:43.150000Z  46.781  38.464   8.285   3.700  133  133   87    0    0   40   0.459   3.380   2.770
2012-08-12T02:32:17.230000Z  46.703  38.388  18.213   1.700  174  174   90    0    0   45   0.210   3.631   2.686
2012-08-12T03:28:00.210000Z  46.756  38.489   3.572   2.400  152  152   86    0    0   38   0.282   3.280   2.909
2012-08-12T04:10:44.320000Z  46.874  38.406  27.421   2.500  125  125   72    0    0   45   0.273   3.737   2.567
2012-08-12T04:35:39.370000Z  46.730  38.497  14.369   2.600  167  167   84    0    0   38   0.350   3.827   2.885
2012-08-12T04:40:40.550000Z  46.750  38.445   7.484   2.900  126  126   67    0    0   41   0.259   3.338   2.696
2012-08-12T05:13:20.650000Z  46.844  38.488   4.762   2.300  138  138   91    0    0   46   0.305   3.820   5.758
2012-08-12T05:37:55.740000Z  46.785  38.440   9.294   2.200  148  148   87    0    0   42   0.288   3.305   2.349
2012-08-12T06:03:57.800000Z  46.777  38.459   8.513   2.600  119  119   76    0    0   41   0.259   3.350   2.928
2012-08-12T06:17:49.870000Z  46.841  38.436   9.956   2.600  130  130   83    0    0   43   0.384   3.567   3.042
2012-08-12T06:29:57.160000Z  46.737  38.350  29.816   1.700   66   66   34    0    0   49   0.277   4.385   3.808
2012-08-12T06:40:44.610000Z  46.648  38.389  18.947   4.100  116  116   94    0    0   43   0.315   3.743   2.760
