Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.7440, 38.3460, 30.1000,2012-08-12T06:29:57.100000Z,  1.7000, -0.5245, 10.6562, 30.1000
 46.6500, 38.3920, 19.4000,2012-08-12T06:40:44.500000Z,  4.1000, -8.7363, 15.7671, 19.4000
 46.7740, 38.4460, 19.2000,2012-08-12T07:22:55.500000Z,  3.0000,  2.0952, 21.7569, 19.2000
 46.7110, 38.4630, 15.5000,2012-08-12T07:26:53.200000Z,  2.3000, -3.4038, 23.6444, 15.5000
 46.8810, 38.3820, 23.0000,2012-08-12T07:29:28.800000Z,  2.3000, 11.4461, 14.6604, 23.0000
 46.6960, 38.4240, 10.0000,2012-08-12T07:33:03.000000Z,  2.4000, -4.7155, 19.3159, 10.0000
 46.7780, 38.4490, 15.2000,2012-08-12T07:36:35.600000Z,  2.7000,  2.4442, 22.0900, 15.2000
 46.8190, 38.4170, 21.6000,2012-08-12T08:01:20.000000Z,  2.9000,  6.0260, 18.5397, 21.6000
 46.7520, 38.4280, 17.9000,2012-08-12T08:03:43.800000Z,  2.1000,  0.1746, 19.7585, 17.9000
 46.7500, 38.4220, 19.8000,2012-08-12T10:15:33.400000Z,  3.3000,  0.0000, 19.0925, 19.8000
 46.6500, 38.4040, 10.0000,2012-08-12T10:29:27.900000Z,  2.0000, -8.7349, 17.0991, 10.0000
 46.7070, 38.4230, 19.6000,2012-08-12T11:21:16.200000Z,  2.2000, -3.7550, 19.2044, 19.6000
 46.7980, 38.4000, 15.3000,2012-08-12T11:51:31.500000Z,  3.3000,  4.1930, 16.6515, 15.3000
 46.7990, 38.4200, 18.9000,2012-08-12T14:19:08.800000Z,  3.1000,  4.2791, 18.8716, 18.9000
 46.8580, 38.4310, 15.0000,2012-08-12T15:15:10.000000Z,  2.1000,  9.4301, 20.0971, 15.0000
 46.8110, 38.4500, 14.5000,2012-08-12T15:59:25.400000Z,  2.5000,  5.3249, 22.2024, 14.5000
 46.7440, 38.4600, 19.4000,2012-08-12T17:18:30.600000Z,  2.1000, -0.5237, 23.3107, 19.4000
 46.8430, 38.4110, 18.1000,2012-08-12T18:44:22.100000Z,  2.1000,  8.1226, 17.8755, 18.1000
 46.8350, 38.3980, 15.6000,2012-08-12T18:46:40.200000Z,  2.0000,  7.4252, 16.4318, 15.6000
 46.8140, 38.4370, 21.0000,2012-08-12T19:28:04.700000Z,  1.7000,  5.5878, 20.7595, 21.0000
 46.7800, 38.4220, 19.7000,2012-08-12T19:29:56.500000Z,  2.1000,  2.6198, 19.0929, 19.7000
 46.7660, 38.4940, 18.4000,2012-08-12T20:04:31.000000Z,  1.8000,  1.3958, 27.0850, 18.4000
 46.8770, 38.4190, 16.6000,2012-08-12T20:09:35.500000Z,  2.2000, 11.0910, 18.7671, 16.6000
 46.6860, 38.4280, 12.7000,2012-08-12T20:11:02.200000Z,  1.9000, -5.5885, 19.7605, 12.7000
 46.6770, 38.3930, 10.1000,2012-08-12T21:26:31.800000Z,  2.2000, -6.3774, 15.8759, 10.1000
 46.8050, 38.4570,  5.8000,2012-08-12T21:33:17.800000Z,  3.1000,  4.8007, 22.9791,  5.8000
