 DATE    ORIGIN    LAT N    LONG E    DEPTH    MAG NO GAP DMIN  RMS  ERH  ERZ QM
 10203 -159 59.93 33-51.06  52-37.01  21.15        25 137 40.1 0.14  0.3  0.5 B1
 10203  113 30.00 33-48.38  52-36.03  20.84        25 142 45.1 0.12  0.3  0.5 B1
 10203  114 39.35 34- 9.83  52-46.84  22.42        26 104  8.0 0.34  0.8  0.7 C1
 10203  115 49.77 33-56.71  52-42.21  24.24        28 126 27.0 0.22  0.5  0.8 B1
 10203  117  0.04 33-36.05  52-31.32  20.24        25 171 68.5 0.16  0.5  0.7 C1
 10203  118 10.05 33-47.91  52-32.97  20.29        26 143 48.5 0.14  0.3  0.5 B1
 10203  119 20.20 33-43.58  52-29.54  18.77        26 153 51.2 0.18  0.4  0.6 C1
 10203  120 30.18 33-45.18  52-29.40  17.84        27 149 50.1 0.19  0.5  0.7 C1
 10203  121 40.23 33-49.27  52-14.56  10.85        30 134 26.0 0.23  0.5  0.5 C1
 10203  122 49.95 33-44.10  52-45.11  27.80        26 151 47.0 0.11  0.3  0.4 B1
 10203  123 59.65 33-33.00  52-56.46  33.40        24 173 66.7 0.15  0.3  0.5 C1
 10203  125 10.09 33-46.67  52-39.27  24.08        28 146 45.4 0.13  0.3  0.6 B1
 10203  126 20.10 33-58.15  52-24.82  14.56        29 120 42.5 0.16  0.3  0.5 C1
 10203  127 30.08 33-48.26  52-37.76  23.84        25 143 43.9 0.15  0.4  0.8 B1
 10203  128 40.01 33-53.30  52-37.16  22.90        27 132 36.7 0.19  0.4  0.9 B1
 10203  129 49.59 33-58.27  52-48.06  28.74        26 123 20.5 0.20  0.5  0.6 B1
 10203  131  0.05 33-34.92  52-31.97  20.75        25 174 61.5 0.18  0.5  0.8 C1
 10203  132 10.63 33-43.73  52-24.83  16.72        27 152 60.0 0.28  0.7  1.1 C1
 10203  133 19.81 33-56.19  52-34.36  19.17        25 126 35.8 0.14  0.3  0.4 B1
 10203  134 30.24 33-44.34  52-31.19  18.99        26 151 53.2 0.16  0.4  0.5 C1
 10203  135 40.69 33-34.65  52-10.21  14.30        29 179 36.1 0.27  0.9  1.3 C1
 10203  136 50.22 34- 1.05  52-25.70  15.68        27 115 42.0 0.16  0.4  0.5 C1
 10203  137 59.97 33-50.81  52-40.33  24.56        28 137 37.9 0.16  0.4  0.8 C1
 10203  139 10.24 33-42.00  52-30.31  19.37        26 157 53.3 0.15  0.4  0.6 C1
 10203  140 20.18 33-54.96  52-30.56  19.81        26 128 41.7 0.18  0.4  0.4 C1
 10203  141 29.85 33-44.05  52-46.76  29.49        27 151 46.6 0.12  0.3  0.5 B1
 10203  142 40.33 33-53.92  52-24.23  14.52        26 128 50.8 0.21  0.5  0.8 C1
 10203  143 49.76 33-47.83  52-20.60  10.05        27 141 35.7 0.30  0.7  0.7 C1
 10203  144 59.94 33-54.82  52-37.41  22.50        26 129 34.3 0.16  0.4  0.7 B1
 10203  146  9.90 33-48.01  52-44.56  25.94        28 143 40.2 0.14  0.3  0.6 B1
 10203  147 20.49 33-51.85  52-25.97  18.69        30 133 42.9 0.21  0.5  0.6 C1
 10203  148 30.24 33-40.59  52-28.80  20.77        28 192 52.2 0.22  0.7  0.9 C1
 10203  149 39.81 33-20.41  52-46.14  28.91        26 204 90.0 0.22  0.9  1.1 C1
 10203  150 50.24 33-40.23  52-27.77  17.58        27 161 51.0 0.19  0.5  0.7 C1
 10203  152  0.74 33-43.27  52-22.66  17.39        26 153 41.5 0.36  1.0  1.3 C1
 10203  153 10.03 33-18.46  52-45.64  28.74        27 208 93.7 0.28  1.4  2.3 C1
 10203  154 20.42 33-53.90  52-24.84  16.56        30 128 41.3 0.25  0.5  0.8 C1
 10203  155 30.06 33-45.29  52-41.53  26.32        26 171 46.4 0.12  0.3  0.6 B1
 10203  156 39.50 33-56.84  52-51.15  29.99        25 125 44.8 0.19  0.5  0.6 B1
 10203  157 49.66 34- 4.62  52-36.46  19.26        27 112 25.0 0.18  0.4  0.5 B1
 10203  159  0.10 33-44.45  52-37.31  23.23        25 151 62.2 0.12  0.3  0.7 C1
 10203  2 0  9.37 34- 4.89  52-52.00  26.70        28 111  7.4 0.26  0.6  0.7 B1
 10203  2 1 20.35 33-40.99  52-26.33  18.12        26 177 48.4 0.21  0.7  1.0 C1
 10203  2 2 29.89 34- 6.05  52-14.00  10.46        26 142 33.3 0.16  0.5  0.5 C1
 10203  2 3 40.15 33-44.07  52-36.32  22.00        28 152 51.8 0.14  0.3  0.7 C1
 10203  2 4 50.08 33-51.47  52-38.96  22.73        27 136 37.9 0.18  0.4  0.8 C1
 10203  2 6  0.02 33-41.42  52-32.65  20.13        26 158 57.0 0.13  0.3  0.6 C1
 10203  2 7 10.23 33-43.55  52-28.67  19.57        27 153 49.9 0.17  0.4  0.7 C1
 10203  2 8 20.25 33-49.56  52-11.18   9.71        26 145 20.8 0.20  0.6  0.6 C1
 10203  2 9 30.23 33-46.11  52-28.20  17.68        24 147 47.8 0.20  0.5  0.7 C1
 10203  210 39.24 33-51.86  52-57.25  29.05        25 132 32.5 0.26  0.7  1.1 B1
 10203  211 50.05 33-35.59  52-39.43  26.45        25 171 64.5 0.16  0.5  1.0 C1
 10203  212 59.83 33-52.34  52-43.21  25.13        29 134 33.4 0.18  0.4  0.7 B1
 10203  214  9.46 34- 2.28  52-45.30  23.66        28 116 15.9 0.28  0.7  0.8 B1
 10203  215 20.37 33-49.76  52-27.18  16.32        28 166 45.1 0.23  0.6  0.8 C1
 10203  216 29.80 33-40.46  52-50.43  30.08        26 158 52.6 0.12  0.3  0.5 C1
 10203  217 40.01 34- 0.99  52-28.40  17.30        26 116 39.0 0.18  0.4  0.5 C1
 10203  218 49.89 33-34.76  52-43.27  27.75        28 172 64.5 0.16  0.5  0.9 C1
 10203  220  0.20 33-55.49  52-37.33  23.93        26 128 45.1 0.18  0.4  0.9 B1
 10203  221 10.14 33-55.16  52-20.97  12.40        29 124 35.6 0.32  0.6  0.9 C1
 10203  222 20.34 33-50.38  52-17.95  13.75        30 133 30.8 0.35  0.8  1.0 C1
 10203  223 29.77 33-36.86  53- 0.20  38.73        27 163 60.6 0.14  0.4  1.2 C1
 10203  224 39.94 33-54.78  52-33.25  20.17        28 129 38.8 0.15  0.4  0.5 B1
 10203  225 49.72 34- 7.21  52-31.31  17.29        28 106 27.7 0.22  0.4  0.5 B1
 10203  227  0.14 33-55.76  52-23.91  13.92        30 124 40.2 0.26  0.5  0.8 C1
 10203  228 10.21 33-39.67  52-32.64  21.18        26 162 58.3 0.19  0.5  0.8 C1
 10203  229 20.73 33-41.30  52-22.74  18.55        29 158 43.2 0.27  0.8  1.2 C1
 10203  230 29.85 33-58.47  52-35.81  19.38        26 122 31.4 0.17  0.4  0.5 B1
 10203  231 39.86 33-46.97  52-45.95  28.47        26 145 41.5 0.10  0.3  0.4 B1
 10203  232 50.25 33-46.53  52-29.67  18.79        26 146 49.9 0.17  0.4  0.6 C1
 10203  233 59.94 33-44.93  52-45.83  29.08        26 149 45.3 0.10  0.3  0.4 B1
 10203  235 10.41 33-38.17  52-24.50  17.44        26 166 48.5 0.20  0.8  1.0 C1
 10203  236 19.20 33-57.12  53- 0.01  32.53        27 122 25.1 0.25  0.7  0.7 B1
 10203  237 30.09 33-43.80  52-37.29  24.30        24 152 51.5 0.10  0.3  0.6 C1
 10203  238 39.82 33-51.56  52-43.29  25.65        26 136 34.7 0.13  0.3  0.6 B1
 10203  239 50.11 33-55.44  52-11.09   7.97        29 116 20.7 0.16  0.4  0.4 C1
 10203  240 59.69 34-12.11  52-32.05  16.30        29  99 20.0 0.20  0.4  0.5 B1
 10203  242  9.91 33-47.31  52-44.11  27.12        25 144 41.6 0.12  0.3  0.5 B1
 10203  243 19.35 33-59.78  52-49.46  25.82        26 120 17.2 0.27  0.7  0.9 B1
 10203  244 30.33 33-55.23  52-23.18  14.76        29 125 38.9 0.29  0.6  0.9 C1
 10203  245 39.89 33-58.43  52-34.90  20.24        27 122 32.5 0.15  0.3  0.4 B1
 10203  246 50.10 33-57.34  52-21.77  13.32        29 120 37.5 0.23  0.5  0.7 C1
 10203  248  0.24 33-44.21  52-31.79  20.60        24 152 54.1 0.16  0.4  0.7 C1
 10203  249  9.80 33-48.22  52-44.69  26.48        26 142 39.8 0.11  0.3  0.5 B1
 10203  250 20.20 33-51.02  52-11.20   9.52        29 127 20.3 0.17  0.4  0.5 C1
 10203  251 30.02 33-46.24  52-41.85  25.04        26 147 44.6 0.13  0.3  0.7 B1
 10203  252 39.97 34- 5.06  52-28.97  17.72        30 109 33.0 0.23  0.5  0.5 B1
 10203  253 50.44 33-56.32  52-25.64  17.25        27 124 43.0 0.22  0.5  0.6 C1
 10203  254 59.88 33-58.79  52-34.94  20.26        26 139 32.1 0.19  0.4  0.5 C1
 10203  256 10.10 33-21.24  52-39.37  23.25        24 204 86.0 0.31  2.6  3.3 D1
 10203  257 19.47 33-50.33  52-53.07  29.89        25 137 34.3 0.21  0.5  0.6 C1
 10203  258 29.62 34- 6.01  52-36.69  19.62        26 110 24.0 0.22  0.5  0.5 B1
 10203  259 39.66 33-53.49  52-45.46  25.13        18 154 30.1 0.13  0.4  1.2 B1
 10203  3 0 50.08 33-48.77  52-32.28  19.64        25 141 47.9 0.16  0.4  0.5 C1
 10203  3 2  0.04 33-33.00  52-28.70  19.60        25 179 64.9 0.16  0.5  0.7 C1
 10203  3 3 10.13 33-30.02  52-25.83  20.00        25 206 59.6 0.25  1.0  1.2 C1
 10203  3 4 19.62 33-52.47  52-48.10  28.36        26 133 30.9 0.19  0.5  0.6 B1
 10203  3 5 30.11 33-31.17  52-26.35  17.71        25 184 58.7 0.27  1.1  1.1 C1
 10203  3 6 40.24 33-42.08  52-28.76  19.58        25 157 51.0 0.16  0.4  0.6 C1
 10203  3 7 50.19 33-39.89  52-33.14  21.85        26 162 58.8 0.16  0.4  0.7 C1
 10203  3 8 59.44 34- 2.51  52-46.18  23.85        29 116 14.7 0.29  0.6  0.7 B1
 10203  310 10.11 33-56.22  52-29.63  16.80        26 125 41.5 0.18  0.4  0.6 C1
 10203  311 19.78 33-45.94  52-46.30  28.40        25 147 43.3 0.14  0.4  0.6 B1
 10203  312 30.31 33-47.61  52-24.16  14.81        25 142 41.1 0.26  0.6  1.1 C1
 10203  313 39.88 33-40.87  52-15.46  10.33        27 158 34.2 0.24  0.5  0.6 C1
 10203  314 50.03 33-37.05  52-34.46  21.87        25 168 62.9 0.17  0.5  0.8 C1
 10203  315 59.37 33-46.52  53- 4.57  34.86        26 140 45.7 0.23  0.6  0.9 C1
 10203  317 10.13 33-43.11  52-32.27  20.34        27 154 55.4 0.14  0.3  0.6 C1
 10203  318 19.41 33-54.42  52-54.62  30.00        27 128 27.1 0.23  0.6  0.7 B1
 10203  319 29.34 33-57.86  52-54.18  29.55        26 122 20.7 0.25  0.6  0.8 B1
 10203  320 39.42 33-50.38  52-54.13  29.98        28 136 34.4 0.22  0.5  0.7 C1
 10203  321 50.48 33-45.55  52-26.16  18.64        26 148 45.1 0.20  0.5  0.7 C1
 10203  322 59.78 33-55.29  52-40.42  21.72        27 129 30.7 0.19  0.4  0.6 B1
 10203  324  9.67 33-46.17  52-52.46  30.69        24 145 42.0 0.14  0.4  0.5 B1
 10203  325 19.67 33-57.36  52-44.57  24.82        25 141 24.1 0.21  0.5  0.7 C1
 10203  326 29.66 33-34.27  52-47.33  28.24        25 172 64.4 0.20  0.7  1.1 C1
 10203  327 40.24 33-53.66  52-20.24  11.99        29 127 34.1 0.31  0.7  0.9 C1
 10203  328 50.17 33-39.54  52-33.85  23.70        26 162 60.1 0.16  0.4  0.8 C1
 10203  330  0.18 33-43.69  52-38.62  24.54        25 153 50.9 0.13  0.3  0.7 C1
 10203  331 10.35 33-42.78  52-26.42  17.68        27 155 47.2 0.21  0.6  0.7 C1
 10203  332 19.88 33-51.22  52-42.22  25.11        25 137 35.9 0.13  0.3  0.7 B1
 10203  333 29.90 33-57.68  52-39.88  22.19        26 124 27.8 0.20  0.5  0.8 B1
 10203  334 39.96 33-34.52  52-30.98  18.84        26 175 60.6 0.20  0.6  0.9 C1
 10203  335 50.43 33-45.73  52-26.14  17.25        25 147 44.9 0.20  0.6  0.8 C1
 10203  337  0.06 33-52.74  52- 8.02   6.90        26 119 15.2 0.24  0.6  0.8 C1
 10203  338  9.70 33-31.51  52-42.35  23.56        27 180 70.6 0.24  0.6  1.2 C1
 10203  339 20.82 33-40.92  52-20.63  17.44        30 159 40.7 0.35  1.0  1.5 C1
 10203  340 29.98 33-33.03  52-32.38  19.57        24 178 63.9 0.18  0.6  0.9 C1
 10203  341 39.65 34- 7.26  52-18.22   9.85        28 101 40.1 0.33  0.6  0.6 C1
 10203  342 49.69 33-54.21  52-44.61  24.92        27 131 29.4 0.21  0.5  0.8 B1
 10203  344  0.42 33-42.33  52-24.84  16.18        29 156 45.2 0.25  0.6  1.0 C1
 10203  345 10.13 33-50.89  52-31.30  18.61        29 137 46.0 0.18  0.4  0.5 C1
 10203  346 20.00 34- 3.20  52-28.73  17.40        27 112 36.1 0.23  0.5  0.6 C1
 10203  347 30.18 33-48.76  52-29.44  17.57        26 141 48.8 0.20  0.5  0.7 C1
 10203  348 39.81 33-34.72  52-44.21  29.26        26 218 64.2 0.25  0.9  0.9 C1
 10203  349 49.71 33-50.43  52-44.98  26.94        26 138 35.7 0.14  0.4  0.6 B1
 10203  351  0.24 33-51.89  52-28.49  17.98        29 134 46.8 0.19  0.5  0.6 C1
 10203  352  9.96 33-48.47  52-33.54  19.40        24 142 55.1 0.16  0.4  0.7 C1
 10203  353 19.85 33-37.19  52-55.16  35.31        27 164 58.8 0.12  0.3  0.7 C1
 10203  354 30.37 33-49.37  52-24.36  13.84        26 138 40.8 0.28  0.6  1.1 C1
 10203  355 40.12 33-50.96  52-19.73  12.42        25 165 33.4 0.20  0.5  0.6 C1
 10203  356 50.13 33-51.44  52-30.82  18.82        25 135 45.7 0.16  0.4  0.5 C1
 10203  357 59.57 34- 1.62  52-43.27  23.34        27 136 18.9 0.27  0.6  1.0 C1
 10203  359  9.92 33-53.71  52-40.17  23.68        27 132 33.3 0.18  0.4  0.7 B1
 10203  4 0 20.15 33-51.92  52-38.55  24.29        26 135 51.5 0.16  0.4  0.8 C1
 10203  4 1 30.10 33-34.73  52-31.23  20.74        28 174 60.7 0.18  0.5  0.8 C1
 10203  4 2 40.15 33-30.11  52-32.76  22.63        30 185 67.6 0.30  1.0  1.4 C1
 10203  4 3 49.37 34- 1.20  52-59.52  31.37        28 115 18.4 0.24  0.6  0.6 B1
 10203  4 5  0.09 33-41.16  52-14.32  11.01        27 157 32.5 0.27  0.6  0.6 C1
 10203  4 6  9.88 33-38.93  52-43.83  28.68        28 163 56.7 0.14  0.4  0.7 C1
 10203  4 7 20.19 33-56.06  52-24.98  14.16        26 124 41.9 0.21  0.5  0.7 C1
